participation_channel,city_id,survey_id,agent_id,twitter_profile,gender,birth_date,arrival_date,district_id,engagement_feeling,source_social_medias,source_messaging_app,source_word_mouth,source_internet,source_email,source_print_medias,source_newspapers,source_radio,source_tv,source_city_council,source_other,total_sources,facebook,twitter,youtube,medium,linkedin,instagram,Pinterest,Snapchat,other_social_media,total_social_medias,line,whatsapp,wechat,slack,telegram,messenger,other_messaging_app,total_messaging_app,agent_category,agent_type,influencer_national_gov,influencer_local_gov,influencer_public_services,influencer_investor,influencer_academic,influencer_private_research,influencer_corporate,influencer_startup,influencer_freelance,influencer_local_nonprofit,influencer_international_nonprofit,influencer_individual,total_influencers,relationship_public,relationship_academic,relationship_private,relationship_civil,neighborhood,global_events,startup_structure,business_clusters,public_infrastructure,governmental_meeting,online,other_meeting_place,total_meeting_places,opinion_share,opinion_change,engagement_wish,online_survey,workshop,interview,voting_app,project,total_engagement,engagement_freq,survey_date
Survey,Tel Aviv,226,226,,Woman,1958-11-19,1979-07-26,מונטיפיורי Montefiore,2,1,1,0,1,1,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Neutral,Neutral,Neutral,Positive,1,0,0,0,1,0,0,0,2,5,3,Yes,1,1,1,1,1,5,One hour a week,2020/03/30 6:16:32 PM UTC+3
Survey,Taipei,19,19,,Man,1974-12-01,2011-11-10,Nèihú/內湖,5,1,1,0,1,0,0,1,1,0,0,0,5,1,0,0,0,1,0,0,0,1,3,1,0,0,0,1,1,0,3,Civil Society,Individual Citizen,1,0,0,0,0,0,0,0,0,1,0,0,2,Neutral,Positive,Negative,Positive,0,0,1,1,0,0,1,0,3,5,4,Yes,1,1,1,1,1,5,One hour a week,2019/11/10 10:23:36 PM UTC+8
Survey,Tel Aviv,153,153,,Woman,1974-04-29,2010-02-01,לב העיר Lev HaIr,3,1,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,1,0,0,1,1,3,Negative,Neutral,Neutral,Neutral,0,1,1,0,0,0,0,0,2,3,5,Yes,1,1,1,1,1,5,One hour a week,2020/03/01 7:30:57 PM UTC+3
Survey,Taipei,76,76,,Man,1956-02-08,1974-09-01,Zhōngzhèng/中正,1,1,0,0,1,1,1,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,Civil Society,Individual Citizen,0,0,0,0,0,0,1,0,1,0,0,1,3,Neutral,Neutral,Neutral,Neutral,0,1,0,1,1,1,1,0,5,3,3,Yes,1,1,1,1,1,5,One hour a week,2019/11/17 4:49:38 PM UTC+8
Survey,Tel Aviv,219,219,,Woman,1994-07-09,2020-01-01,Rothschild Boulevard,1,1,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,1,0,0,0,0,1,Neutral,Neutral,Neutral,Neutral,0,0,1,0,0,0,0,0,1,3,3,Yes,1,0,1,1,1,4,One hour a month,2020/03/27 10:04:29 AM UTC+3
Survey,Tel Aviv,145,145,,Man,1980-10-16,1980-10-16,יפו ג .Yafo C,7,1,0,0,1,0,0,1,0,0,1,0,4,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,Civil Society,Individual Citizen,1,0,1,0,0,0,1,0,0,0,0,1,4,Neutral,Positive,Neutral,Positive,1,1,1,0,1,1,0,0,5,1,3,Yes,1,1,0,1,1,4,One hour a month,2020/02/28 9:56:36 AM UTC+3
Survey,Tel Aviv,193,193,,Man,1957-08-04,1990-01-06,לב העיר Lev HaIr,5,1,1,1,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,0,0,1,1,Neutral ; Negative,Positive,Neutral,Neutral,0,1,0,0,0,0,1,0,2,4,3,Yes,1,0,0,1,1,3,One hour a day,2020/03/19 3:37:40 AM UTC+3
Survey,Taipei,73,73,,Woman,1994-02-01,1994-02-01,New Taipei City,6,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,0,1,0,0,0,0,0,0,0,0,0,1,2,Neutral,Positive,Positive,Positive,1,0,0,1,0,0,1,0,3,3,3,Yes,1,0,0,1,1,3,One hour a month,2019/11/16 6:34:42 AM UTC+8
Survey,Taipei,67,67,,Woman,1959-05-26,1983-09-01,New Taipei City,5,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Civil Society,Individual Citizen,1,1,0,0,0,0,0,0,0,0,1,0,3,Neutral,Neutral,Neutral,Neutral,1,0,0,0,0,0,0,0,1,3,3,,0,1,1,0,1,3,One hour a year,2019/11/15 10:49:35 PM UTC+8
Survey,Tallinn,304,304,,Woman,1996-06-13,2016-05-01,Mustamäe,7,1,0,1,1,0,0,1,1,0,0,0,5,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,Civil Society,Individual Citizen,0,0,0,0,0,0,0,0,0,1,0,0,1,Neutral,Positive,Positive,Positive,0,1,0,0,1,0,1,0,3,3,2,Yes,1,0,1,0,1,3,One hour a day,2020/06/12 3:14:59 PM UTC+3
